nhru_v1_1,i,j,wght
2106,19,148,0.002394668937507442
2106,18,148,0.002371899236256969
2106,19,147,0.0023958701031865574
2106,18,147,0.002329191097045139
2106,19,146,0.0019064915530717112
2106,18,146,0.0009258226270365946
2106,19,145,0.00034017845595865187
2106,17,148,0.0008240847418994847
2106,17,147,0.0012984927971481008
2106,20,145,0.001821910435095484
2106,21,144,0.002399604826723522
2106,20,144,0.0023977381185980463
2106,19,144,0.0006066641960385691
2106,20,143,0.002282511073546912
2106,19,143,0.00011428001006030625
2106,20,142,0.0022869082318044878
2106,19,142,0.001955423410637696
2106,20,141,0.002397738118597063
2106,19,141,0.00239587010318684
2106,10,140,0.00045788922361105183
2106,11,139,0.00014795800666314812
2106,9,140,0.0007846982454128188
2106,10,139,0.0020904890066733737
2106,11,138,0.0013361398258702611
2106,9,139,0.001744413242298052
2106,18,143,7.834473916275014e-05
2106,18,142,0.0014016459008497654
2106,21,143,0.0023996048267234823
2106,21,142,0.002399604826722807
2106,21,141,0.0023996048267226223
2106,21,140,0.002399604826723701
2106,21,139,0.0023996048267230547
2106,20,139,0.0023977381185977305
2106,21,138,0.002293345719750846
2106,20,138,0.0023977381185982644
2106,21,137,0.0011391064558292474
2106,20,137,0.002397738118597516
2106,20,140,0.0023977381185977817
2106,18,141,0.001688150040804123
2106,19,140,0.002395870103186706
2106,18,140,0.0023940007814075128
2106,19,139,0.0023958701031874777
2106,18,139,0.002394000781407336
2106,19,138,0.002395870103187043
2106,18,138,0.0023940007814078237
2106,19,137,0.0023958701031866953
2106,17,138,0.0023921301541912354
2106,17,141,0.0010851956508381867
2106,17,140,0.0023901094618850273
2106,16,140,0.0007627982949911105
2106,17,139,0.0023921301541910225
2106,15,140,1.598009399248824e-05
2106,16,139,0.002305026345084912
2106,15,139,0.0012707248071835175
2106,16,138,0.0023902582224389537
2106,14,139,0.00015729581943607613
2106,13,139,0.00066153614360608
2106,14,138,0.002013945274334316
2106,12,139,4.716645599917685e-06
2106,13,138,0.0023846346092744326
2106,12,138,0.0010991027729210213
2106,13,137,0.0023846346092739443
2106,12,137,0.0023827574686575144
2106,18,137,0.002394000781407623
2106,17,137,0.0023921301541908616
2106,18,136,0.0023940007814079165
2106,17,136,0.0023921301541913486
2106,18,135,0.0023940007814078294
2106,17,135,0.0023921301541916743
2106,18,134,0.002394000781408186
2106,16,135,0.0023902582224383105
2106,17,134,0.0023921301541913603
2106,16,134,0.0023902582224382624
2106,15,138,0.002388384987089989
2106,16,137,0.0023902582224385295
2106,15,137,0.0023883849870892137
2106,16,136,0.0023902582224395266
2106,14,137,0.0023865104490575725
2106,15,136,0.0023883849870906296
2106,14,136,0.0023865104490581527
2106,15,135,0.0023883849870897336
2106,14,135,0.002386510449058321
2106,15,134,0.0023883849870900416
2106,17,133,0.0023921301541902982
2106,16,133,0.0023902582224380052
2106,17,132,0.002392130154191552
2106,16,132,0.0023902582224389125
