,nhru_v1_1,i,j,wght
65,2004,21,125,0.004620317843232383
66,2005,21,131,0.00016379670120558967
67,2005,21,130,0.0015325221196320024
68,2006,21,133,2.2348616450892323e-05
69,2007,21,133,0.048888917435691764
70,2007,21,132,0.12756500402119383
71,2007,21,131,0.01902339605627373
72,2007,20,132,0.002917776552451823
73,2009,21,138,0.001954612609609028
74,2009,21,137,0.023186586828577348
75,2009,21,136,0.04205089305150318
76,2009,20,136,0.009629041117171678
77,2009,21,135,0.04392494856674705
78,2009,20,135,0.038189501345751
79,2009,19,135,0.00014050128259932978
80,2009,20,134,0.037249154600654526
81,2009,19,134,0.009886479548540135
82,2009,20,133,0.03181151098549878
83,2009,19,133,0.017953453647032627
84,2009,21,134,0.008672498719850553
85,2009,21,132,0.009879435436423943
86,2009,21,131,0.03890468659305598
87,2009,20,131,0.04410585873240752
88,2009,21,130,0.034194398871640753
89,2009,20,130,0.011991495609681012
90,2009,21,129,0.030975963947954887
91,2009,21,128,0.037087674305851456
92,2009,20,132,0.042815417648752595
93,2009,19,132,0.021284004269387032
94,2009,19,131,0.020285227485052983
95,2009,19,130,0.0018953247582364457
96,2009,20,128,0.000292842922833248
97,2009,21,127,0.02729321026794485
98,2009,20,127,0.00011427517012694109
99,2009,21,126,0.025285800816934892
100,2009,21,125,0.007129486859997068
101,2104,21,125,0.00020037756761210124
102,2105,21,125,0.006655627615339797
103,2105,21,124,0.033241608817082144
104,2105,21,123,0.04226936254051239
105,2105,20,123,0.02005979985671178
106,2105,21,122,0.04218248439535885
107,2105,20,122,0.01701918046725715
108,2105,21,121,0.04256068144639786
109,2105,20,121,0.034040213849658565
110,2105,21,120,0.04256068144639891
111,2105,19,121,0.002015911375650193
112,2105,20,120,0.04252757250737716
113,2105,19,120,0.008084087416347733
114,2105,21,119,0.04256068144640946
115,2105,20,119,0.042527572507397034
116,2105,19,119,0.019795312024416253
117,2105,20,118,0.042527572507396694
118,2105,19,118,0.023335145981584236
119,2105,20,117,0.042527572507389144
120,2105,19,117,0.011661925232330625
121,2105,21,118,0.0425606814464023
122,2105,21,117,0.042560681446396326
123,2105,21,116,0.00658681507469672
124,2105,20,115,0.008467785806246655
125,2105,20,116,0.02867958099199253
126,2105,19,116,0.010602833918883982
127,2105,19,115,0.004915763794623041
128,2106,19,151,2.162077669906353e-06
129,2106,20,150,0.0006314733731681699
130,2106,19,150,0.0018538185770035761
131,2106,20,149,0.002206998996105809
132,2106,21,149,0.0001258655037468475
133,2106,21,148,0.0008511029265986142
134,2106,20,148,0.0016700206555649959
135,2106,21,147,0.0019800705344734586
136,2106,20,147,0.0023977381185971446
137,2106,21,146,0.0017637333778312396
138,2106,20,146,0.0021690583845574447
139,2106,21,145,0.0023996048267235846
140,2106,18,150,8.130343182426423e-05
141,2106,19,149,0.0023958701031865297
142,2106,18,149,0.0009159855204845472
143,2106,19,148,0.002394668937507442
144,2106,18,148,0.002371899236256969
145,2106,19,147,0.0023958701031865574
146,2106,18,147,0.002329191097045139
147,2106,19,146,0.0019064915530717112
148,2106,18,146,0.0009258226270365946
149,2106,19,145,0.00034017845595865187
150,2106,17,148,0.0008240847418994847
151,2106,17,147,0.0012984927971481008
152,2106,20,145,0.001821910435095484
153,2106,21,144,0.002399604826723522
154,2106,20,144,0.0023977381185980463
155,2106,19,144,0.0006066641960385691
156,2106,20,143,0.002282511073546912
157,2106,19,143,0.00011428001006030625
158,2106,20,142,0.0022869082318044878
159,2106,19,142,0.001955423410637696
160,2106,20,141,0.002397738118597063
161,2106,19,141,0.00239587010318684
162,2106,10,140,0.00045788922361105183
163,2106,11,139,0.00014795800666314812
164,2106,9,140,0.0007846982454128188
165,2106,10,139,0.0020904890066733737
166,2106,11,138,0.0013361398258702611
167,2106,9,139,0.001744413242298052
168,2106,18,143,7.834473916275014e-05
169,2106,18,142,0.0014016459008497654
170,2106,21,143,0.0023996048267234823
171,2106,21,142,0.002399604826722807
172,2106,21,141,0.0023996048267226223
173,2106,21,140,0.002399604826723701
174,2106,21,139,0.0023996048267230547
175,2106,20,139,0.0023977381185977305
176,2106,21,138,0.002293345719750846
177,2106,20,138,0.0023977381185982644
178,2106,21,137,0.0011391064558292474
179,2106,20,137,0.002397738118597516
180,2106,20,140,0.0023977381185977817
181,2106,18,141,0.001688150040804123
182,2106,19,140,0.002395870103186706
183,2106,18,140,0.0023940007814075128
184,2106,19,139,0.0023958701031874777
185,2106,18,139,0.002394000781407336
186,2106,19,138,0.002395870103187043
187,2106,18,138,0.0023940007814078237
188,2106,19,137,0.0023958701031866953
189,2106,17,138,0.0023921301541912354
190,2106,17,141,0.0010851956508381867
191,2106,17,140,0.0023901094618850273
192,2106,16,140,0.0007627982949911105
193,2106,17,139,0.0023921301541910225
194,2106,15,140,1.598009399248824e-05
195,2106,16,139,0.002305026345084912
196,2106,15,139,0.0012707248071835175
197,2106,16,138,0.0023902582224389537
198,2106,14,139,0.00015729581943607613
199,2106,13,139,0.00066153614360608
200,2106,14,138,0.002013945274334316
201,2106,12,139,4.716645599917685e-06
202,2106,13,138,0.0023846346092744326
203,2106,12,138,0.0010991027729210213
204,2106,13,137,0.0023846346092739443
205,2106,12,137,0.0023827574686575144
206,2106,18,137,0.002394000781407623
207,2106,17,137,0.0023921301541908616
208,2106,18,136,0.0023940007814079165
209,2106,17,136,0.0023921301541913486
210,2106,18,135,0.0023940007814078294
211,2106,17,135,0.0023921301541916743
212,2106,18,134,0.002394000781408186
213,2106,16,135,0.0023902582224383105
214,2106,17,134,0.0023921301541913603
215,2106,16,134,0.0023902582224382624
216,2106,15,138,0.002388384987089989
217,2106,16,137,0.0023902582224385295
218,2106,15,137,0.0023883849870892137
219,2106,16,136,0.0023902582224395266
220,2106,14,137,0.0023865104490575725
221,2106,15,136,0.0023883849870906296
222,2106,14,136,0.0023865104490581527
223,2106,15,135,0.0023883849870897336
224,2106,14,135,0.002386510449058321
225,2106,15,134,0.0023883849870900416
226,2106,17,133,0.0023921301541902982
227,2106,16,133,0.0023902582224380052
228,2106,17,132,0.002392130154191552
229,2106,16,132,0.0023902582224389125
230,2106,17,131,0.0023921301541909735
231,2106,15,132,0.0023883849870904622
232,2106,16,131,0.002390258222438157
233,2106,15,131,0.00238838498708971
234,2106,16,130,0.002390258222438862
235,2106,15,130,0.0023883849870900316
236,2106,14,134,0.002386510449058392
237,2106,15,133,0.002388384987088911
238,2106,13,134,0.0023846346092736277
239,2106,14,133,0.0023865104490570564
240,2106,13,133,0.0023846346092741425
241,2106,14,132,0.0023865104490581714
242,2106,13,132,0.0023846346092746876
243,2106,14,131,0.002386510449057391
244,2106,13,131,0.0023846346092739204
245,2106,14,130,0.0023865104490571917
246,2106,10,138,0.002378999288640624
247,2106,9,138,0.002150225366294731
248,2106,10,137,0.0023789992886397732
249,2106,8,138,0.0003407443054285737
250,2106,9,137,0.002377118251078266
251,2106,10,136,0.002378999288641287
252,2106,8,137,0.0016776037462634954
253,2106,9,136,0.002377118251079765
254,2106,10,135,0.002378999288640375
255,2106,8,136,0.0022531304416698677
256,2106,7,137,4.869714188857239e-06
257,2106,13,136,0.0023846346092756938
258,2106,11,137,0.0023732993276497417
259,2106,12,136,0.0023827574686584824
260,2106,13,135,0.002384634609274078
261,2106,11,136,0.0023808790281349412
262,2106,12,135,0.002382757468657899
263,2106,11,135,0.002380879028134846
264,2106,12,134,0.002382757468658032
265,2106,11,134,0.0023808790281348094
266,2106,12,133,0.002382757468656388
267,2106,7,136,0.00010383962305344272
268,2106,9,135,0.002377118251078855
269,2106,10,134,0.0023789992886396596
270,2106,8,135,0.0023752359164102895
271,2106,9,134,0.0023771182510791346
272,2106,7,135,0.00035806636124773483
273,2106,8,134,0.0023752359164101984
274,2106,9,133,0.0023771182510778075
275,2106,7,134,0.0014752922380892753
276,2106,8,133,0.002375235916408429
277,2106,9,132,0.002377118251079575
278,2106,6,133,8.594800478299484e-05
279,2106,5,133,0.00014642167466517224
280,2106,6,132,0.0004428026812140465
281,2106,4,133,0.0001636383262727073
282,2106,21,136,0.00011358133486982514
283,2106,20,136,0.0018742720849297147
284,2106,19,136,0.002395870103187685
285,2106,20,135,0.00032163245511933146
286,2106,19,135,0.0023882319958992964
287,2106,19,134,0.001858408877998551
288,2106,19,133,0.0014198618945913198
289,2106,21,130,0.0004763526416131682
290,2106,20,130,0.0017458413649994908
291,2106,21,129,0.0007156505482463302
292,2106,20,129,0.0023977381185983013
293,2106,21,128,0.00017281266504867867
294,2106,18,133,0.002394000781406653
295,2106,19,132,0.0012388023162807121
296,2106,18,132,0.002394000781408003
297,2106,19,131,0.0012930990749555448
298,2106,18,131,0.0023940007814072448
299,2106,19,130,0.002292834076895909
300,2106,18,130,0.002394000781407933
301,2106,19,129,0.002395870103186549
302,2106,17,130,0.0023921301541912484
303,2106,20,128,0.0023818182236215644
304,2106,21,127,0.00011078990905397875
305,2106,19,128,0.002395870103186877
306,2106,20,127,0.0023915257481944797
307,2106,19,127,0.002395870103187563
308,2106,20,126,0.0023977381185979873
309,2106,19,126,0.0023958701031863306
310,2106,20,125,0.0023977381185981764
311,2106,19,125,0.002395870103186833
312,2106,20,124,0.0023977381185974
313,2106,21,126,0.0006704522249484838
314,2106,21,125,0.0011205160484231741
315,2106,21,124,0.0005254166733691636
316,2106,21,123,1.6424789945992574e-05
317,2106,20,123,0.0012667507630535642
318,2106,21,122,2.1323048370089844e-05
319,2106,20,122,0.0014381832851652228
320,2106,20,121,0.00047852398291197833
321,2106,18,125,0.0023940007814077847
322,2106,19,124,0.002395870103187403
323,2106,18,124,0.0023940007814070947
324,2106,19,123,0.002395870103187765
325,2106,18,123,0.0023940007814084543
326,2106,19,122,0.002395870103186623
327,2106,18,122,0.002394000781407593
328,2106,19,121,0.002282211428023509
329,2106,18,121,0.0023940007814074547
330,2106,17,121,0.0023921301541907727
331,2106,17,125,0.0023921301541914354
332,2106,16,125,0.002390258222438447
333,2106,17,124,0.0023921301541907874
334,2106,16,124,0.0023902582224384814
335,2106,17,123,0.0023921301541921206
336,2106,16,123,0.0023902582224394836
337,2106,15,123,0.002388384987090491
338,2106,17,122,0.002392130154191396
339,2106,16,122,0.0023902582224385625
340,2106,15,122,0.0023883849870900923
341,2106,19,120,0.0019400828712939527
342,2106,19,119,0.001279794780471445
343,2106,19,118,0.0010802161468419537
344,2106,19,117,0.0017383615500962562
345,2106,18,117,0.002394000781407733
346,2106,16,121,0.0023902582224387585
347,2106,15,121,0.002388384987089826
348,2106,16,120,0.0023902582224386427
349,2106,15,120,0.002388384987090037
350,2106,14,120,0.002386510449057747
351,2106,16,119,0.002390258222438885
352,2106,15,119,0.0023883849870900684
353,2106,14,119,0.002386510449058129
354,2106,15,118,0.002388384987090084
355,2106,14,118,0.0023865104490579958
356,2106,18,120,0.0023940007814075345
